 Name             Version   License                                            
 Pillow           8.4.0     Historical Permission Notice and Disclaimer (HPND) 
 cycler           0.10.0    BSD                                                
 kiwisolver       1.3.2     BSD License                                        
 loguru           0.5.3     MIT License                                        
 matplotlib       3.4.3     Python Software Foundation License                 
 networkx         2.6.3     BSD License                                        
 numpy            1.21.2    BSD License                                        
 pygraphviz       1.7       BSD License                                        
 pyparsing        2.4.7     MIT License                                        
 python-dateutil  2.8.2     Apache Software License; BSD License               
 six              1.16.0    MIT License                                        
