 Name             Version   License                                            
 Pillow           8.4.0     Historical Permission Notice and Disclaimer (HPND) 
 cycler           0.11.0    BSD License                                        
 fonttools        4.28.3    MIT License                                        
 kiwisolver       1.3.2     BSD License                                        
 loguru           0.5.3     MIT License                                        
 matplotlib       3.5.1     Python Software Foundation License                 
 networkx         2.6.3     BSD License                                        
 numpy            1.21.4    BSD License                                        
 packaging        21.3      Apache Software License; BSD License               
 pygraphviz       1.7       BSD License                                        
 pyparsing        3.0.6     MIT License                                        
 python-dateutil  2.8.2     Apache Software License; BSD License               
 setuptools-scm   6.3.2     MIT License                                        
 six              1.16.0    MIT License                                        
 tomli            1.2.2     MIT License                                        
