group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,987318.0,ns,946747
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,1972413.0,ns,1893494
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,2959343.0,ns,2840241
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,3978961.0,ns,3786988
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,5326528.0,ns,4733735
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,6072090.0,ns,5680482
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,6938931.0,ns,6627229
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,7968871.0,ns,7573976
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,8878313.0,ns,8520723
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,9863520.0,ns,9467470
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,10850355.0,ns,10414217
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,11870683.0,ns,11360964
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,12856939.0,ns,12307711
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,13808972.0,ns,13254458
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,14863111.0,ns,14201205
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,15820087.0,ns,15147952
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,16768146.0,ns,16094699
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,17755393.0,ns,17041446
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,18740811.0,ns,17988193
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,19727762.0,ns,18934940
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,20789339.0,ns,19881687
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,21828590.0,ns,20828434
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,22721679.0,ns,21775181
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,23801306.0,ns,22721928
"impl CleartextCreationEngine<u32,Cleartext32> for CoreEngine",,(),,,24688456.0,ns,23668675
