group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,1020852.0,ns,922774
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,1922466.0,ns,1845548
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,2933211.0,ns,2768322
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,3948146.0,ns,3691096
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,5182872.0,ns,4613870
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,5940087.0,ns,5536644
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,6961216.0,ns,6459418
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,7740902.0,ns,7382192
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,8845984.0,ns,8304966
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,9858315.0,ns,9227740
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,10800746.0,ns,10150514
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,11782687.0,ns,11073288
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,12764025.0,ns,11996062
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,13746126.0,ns,12918836
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,14768499.0,ns,13841610
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,15710132.0,ns,14764384
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,16599115.0,ns,15687158
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,17437426.0,ns,16609932
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,18378188.0,ns,17532706
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,19481848.0,ns,18455480
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,20468293.0,ns,19378254
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,21290129.0,ns,20301028
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,22282921.0,ns,21223802
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,23148796.0,ns,22146576
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,24108111.0,ns,23069350
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,25113468.0,ns,23992124
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,26100238.0,ns,24914898
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,27023351.0,ns,25837672
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,28342441.0,ns,26760446
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,28879928.0,ns,27683220
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,30114163.0,ns,28605994
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,32406076.0,ns,29528768
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,32943928.0,ns,30451542
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,33497636.0,ns,31374316
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,34487220.0,ns,32297090
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,35387235.0,ns,33219864
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,36373268.0,ns,34142638
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,37433120.0,ns,35065412
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,38523000.0,ns,35988186
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,40579546.0,ns,36910960
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,41551368.0,ns,37833734
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,41628019.0,ns,38756508
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,42758372.0,ns,39679282
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,43588016.0,ns,40602056
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,44734017.0,ns,41524830
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,45642500.0,ns,42447604
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,46191131.0,ns,43370378
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,47263230.0,ns,44293152
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,48562746.0,ns,45215926
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,49404482.0,ns,46138700
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,50615289.0,ns,47061474
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,51493396.0,ns,47984248
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,52413045.0,ns,48907022
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,53232674.0,ns,49829796
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,54668008.0,ns,50752570
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,55417911.0,ns,51675344
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,56658367.0,ns,52598118
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,57486586.0,ns,53520892
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,58297306.0,ns,54443666
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,59294606.0,ns,55366440
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,60051108.0,ns,56289214
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,60956384.0,ns,57211988
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,61989751.0,ns,58134762
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,64280027.0,ns,59057536
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,64898663.0,ns,59980310
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,65989926.0,ns,60903084
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,67068040.0,ns,61825858
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,66851151.0,ns,62748632
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,68809602.0,ns,63671406
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,69794790.0,ns,64594180
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,71268086.0,ns,65516954
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,72280949.0,ns,66439728
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,73280714.0,ns,67362502
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,74258117.0,ns,68285276
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,75269142.0,ns,69208050
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,76255047.0,ns,70130824
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,76774925.0,ns,71053598
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,78674201.0,ns,71976372
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,79260083.0,ns,72899146
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,79449838.0,ns,73821920
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,80735118.0,ns,74744694
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,81234150.0,ns,75667468
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,81396221.0,ns,76590242
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,83963596.0,ns,77513016
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,85264377.0,ns,78435790
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,86297552.0,ns,79358564
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,87310385.0,ns,80281338
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,88307603.0,ns,81204112
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,89310962.0,ns,82126886
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,90148742.0,ns,83049660
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,90227618.0,ns,83972434
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,90562980.0,ns,84895208
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,91313931.0,ns,85817982
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,90534355.0,ns,86740756
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,91439137.0,ns,87663530
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,92568612.0,ns,88586304
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,93626982.0,ns,89509078
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,94550259.0,ns,90431852
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,95415003.0,ns,91354626
"impl CleartextCreationEngine<u64,Cleartext64> for CoreEngine",,(),,,96263917.0,ns,92277400
