group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,981991.0,ns,36449
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,2002450.0,ns,72898
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,2980633.0,ns,109347
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,3963612.0,ns,145796
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,5218759.0,ns,182245
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,5959819.0,ns,218694
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,6917973.0,ns,255143
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,7859925.0,ns,291592
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,8921425.0,ns,328041
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,9825137.0,ns,364490
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,10837184.0,ns,400939
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,11787002.0,ns,437388
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,12771403.0,ns,473837
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,13791607.0,ns,510286
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,14771108.0,ns,546735
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,15748711.0,ns,583184
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,16695172.0,ns,619633
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,17747250.0,ns,656082
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,18663079.0,ns,692531
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,19647530.0,ns,728980
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,20709259.0,ns,765429
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,21614495.0,ns,801878
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,22594562.0,ns,838327
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,23574374.0,ns,874776
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,24715547.0,ns,911225
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,25534536.0,ns,947674
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,26557066.0,ns,984123
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,27510837.0,ns,1020572
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,28552253.0,ns,1057021
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,29674360.0,ns,1093470
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,30485561.0,ns,1129919
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,31566376.0,ns,1166368
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,32421757.0,ns,1202817
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,33723648.0,ns,1239266
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,34473801.0,ns,1275715
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,35361873.0,ns,1312164
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,36576089.0,ns,1348613
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,37635570.0,ns,1385062
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,38743357.0,ns,1421511
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,39747074.0,ns,1457960
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,41164354.0,ns,1494409
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,41599639.0,ns,1530858
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,42317966.0,ns,1567307
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,43290607.0,ns,1603756
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,44353702.0,ns,1640205
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,45256459.0,ns,1676654
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,46162697.0,ns,1713103
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,47264169.0,ns,1749552
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,48225203.0,ns,1786001
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,49172208.0,ns,1822450
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,50173654.0,ns,1858899
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,51219599.0,ns,1895348
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,52291738.0,ns,1931797
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,53082719.0,ns,1968246
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,54048704.0,ns,2004695
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,55004181.0,ns,2041144
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,56076694.0,ns,2077593
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,57002643.0,ns,2114042
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,58159384.0,ns,2150491
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,58948397.0,ns,2186940
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,60026825.0,ns,2223389
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,60938093.0,ns,2259838
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,62618278.0,ns,2296287
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,63097664.0,ns,2332736
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,63972109.0,ns,2369185
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,64988707.0,ns,2405634
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,65943770.0,ns,2442083
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,66950987.0,ns,2478532
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,67807628.0,ns,2514981
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,68913624.0,ns,2551430
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,69843529.0,ns,2587879
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,70956824.0,ns,2624328
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,71909133.0,ns,2660777
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,74706172.0,ns,2697226
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,75260050.0,ns,2733675
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,76468692.0,ns,2770124
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,76679384.0,ns,2806573
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,76710131.0,ns,2843022
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,77631298.0,ns,2879471
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,78621270.0,ns,2915920
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,79786570.0,ns,2952369
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,80746585.0,ns,2988818
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,81635341.0,ns,3025267
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,82602852.0,ns,3061716
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,83635600.0,ns,3098165
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,84723412.0,ns,3134614
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,85609989.0,ns,3171063
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,86513741.0,ns,3207512
"impl CleartextVectorCreationEngine<u32,CleartextVector32> for CoreEngine",,(),,,87522579.0,ns,3243961
