group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,984827.0,ns,35309
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,1970234.0,ns,70618
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,2953863.0,ns,105927
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,3939541.0,ns,141236
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,5186329.0,ns,176545
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,6005182.0,ns,211854
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,6961023.0,ns,247163
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,8970394.0,ns,282472
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,8953850.0,ns,317781
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,9982601.0,ns,353090
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,11443650.0,ns,388399
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,12087331.0,ns,423708
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,13083678.0,ns,459017
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,14438026.0,ns,494326
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,15423412.0,ns,529635
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,16425576.0,ns,564944
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,17503815.0,ns,600253
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,18487497.0,ns,635562
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,19448657.0,ns,670871
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,19818765.0,ns,706180
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,20713640.0,ns,741489
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,21659552.0,ns,776798
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,22663634.0,ns,812107
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,23811968.0,ns,847416
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,24979612.0,ns,882725
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,25802749.0,ns,918034
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,26672440.0,ns,953343
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,27637787.0,ns,988652
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,28575892.0,ns,1023961
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,29679076.0,ns,1059270
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,30555210.0,ns,1094579
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,31610039.0,ns,1129888
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,32615034.0,ns,1165197
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,33623936.0,ns,1200506
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,34698060.0,ns,1235815
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,35419935.0,ns,1271124
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,36542634.0,ns,1306433
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,37439539.0,ns,1341742
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,38463734.0,ns,1377051
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,39443166.0,ns,1412360
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,40389061.0,ns,1447669
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,41451596.0,ns,1482978
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,42347454.0,ns,1518287
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,43568281.0,ns,1553596
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,44462187.0,ns,1588905
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,45416876.0,ns,1624214
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,46489211.0,ns,1659523
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,47490170.0,ns,1694832
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,48217135.0,ns,1730141
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,49971246.0,ns,1765450
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,51824226.0,ns,1800759
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,52336293.0,ns,1836068
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,52917747.0,ns,1871377
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,53446126.0,ns,1906686
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,54292074.0,ns,1941995
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,55129573.0,ns,1977304
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,56241031.0,ns,2012613
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,57201802.0,ns,2047922
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,58148056.0,ns,2083231
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,59060386.0,ns,2118540
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,60159419.0,ns,2153849
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,61199509.0,ns,2189158
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,62127166.0,ns,2224467
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,63026681.0,ns,2259776
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,64049395.0,ns,2295085
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,65071681.0,ns,2330394
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,66162028.0,ns,2365703
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,67183524.0,ns,2401012
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,68047568.0,ns,2436321
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,69064101.0,ns,2471630
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,70367707.0,ns,2506939
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,71301633.0,ns,2542248
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,71945161.0,ns,2577557
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,73034453.0,ns,2612866
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,73918120.0,ns,2648175
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,75368235.0,ns,2683484
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,76088237.0,ns,2718793
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,76924823.0,ns,2754102
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,77984718.0,ns,2789411
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,78867948.0,ns,2824720
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,80027590.0,ns,2860029
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,80921789.0,ns,2895338
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,82273380.0,ns,2930647
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,82785146.0,ns,2965956
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,83979165.0,ns,3001265
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,84859636.0,ns,3036574
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,85783884.0,ns,3071883
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,86770265.0,ns,3107192
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,87970458.0,ns,3142501
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,88720288.0,ns,3177810
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,89682414.0,ns,3213119
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,90743534.0,ns,3248428
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,91827064.0,ns,3283737
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,92724555.0,ns,3319046
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,93646726.0,ns,3354355
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,94861665.0,ns,3389664
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,95645403.0,ns,3424973
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,96468499.0,ns,3460282
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,98849010.0,ns,3495591
"impl CleartextVectorCreationEngine<u64,CleartextVector64> for CoreEngine",,(),,,101083429.0,ns,3530900
