group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,1118058.0,ns,7
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,2243128.0,ns,14
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,3256755.0,ns,21
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,4501539.0,ns,28
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,5639427.0,ns,35
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,6579612.0,ns,42
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,7752020.0,ns,49
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,8775945.0,ns,56
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,9837695.0,ns,63
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,10757668.0,ns,70
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,12174229.0,ns,77
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,13387759.0,ns,84
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,14520850.0,ns,91
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,15568891.0,ns,98
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(256))",,,16574027.0,ns,105
