group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50484918.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50239330.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50124236.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49978309.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50028925.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50126103.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50139342.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49941096.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50062049.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49941167.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49983836.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50163643.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,50057970.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49943583.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49941812.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49950102.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49982142.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49950774.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49940131.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49975235.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49948332.0,ns,19
"impl GlweCiphertextEncryptionEngine<GlweSecretKey32,PlaintextVector32,GlweCiphertext32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(1024))",,,49954149.0,ns,19
