group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60640936.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60757387.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61349606.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,62402723.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61970442.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61854792.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61035445.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61929881.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61222166.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60394252.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60635789.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60841627.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60539664.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60422514.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60426120.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60559941.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60669438.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60325254.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60554719.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60421840.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60518842.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60704793.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61192960.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60370807.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61375700.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60701931.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60889643.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60495887.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,60501826.0,ns,5
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(2048))",,,61381812.0,ns,5
